행정구역,2021년10월_계_총인구수,2021년10월_계_연령구간인구수,2021년10월_계_0세,2021년10월_계_1세,2021년10월_계_2세,2021년10월_계_3세,2021년10월_계_4세,2021년10월_계_5세,2021년10월_계_6세,2021년10월_계_7세,2021년10월_계_8세,2021년10월_계_9세,2021년10월_계_10세,2021년10월_계_11세,2021년10월_계_12세,2021년10월_계_13세,2021년10월_계_14세,2021년10월_계_15세,2021년10월_계_16세,2021년10월_계_17세,2021년10월_계_18세,2021년10월_계_19세,2021년10월_계_20세,2021년10월_계_21세,2021년10월_계_22세,2021년10월_계_23세,2021년10월_계_24세,2021년10월_계_25세,2021년10월_계_26세,2021년10월_계_27세,2021년10월_계_28세,2021년10월_계_29세,2021년10월_계_30세,2021년10월_계_31세,2021년10월_계_32세,2021년10월_계_33세,2021년10월_계_34세,2021년10월_계_35세,2021년10월_계_36세,2021년10월_계_37세,2021년10월_계_38세,2021년10월_계_39세,2021년10월_계_40세,2021년10월_계_41세,2021년10월_계_42세,2021년10월_계_43세,2021년10월_계_44세,2021년10월_계_45세,2021년10월_계_46세,2021년10월_계_47세,2021년10월_계_48세,2021년10월_계_49세,2021년10월_계_50세,2021년10월_계_51세,2021년10월_계_52세,2021년10월_계_53세,2021년10월_계_54세,2021년10월_계_55세,2021년10월_계_56세,2021년10월_계_57세,2021년10월_계_58세,2021년10월_계_59세,2021년10월_계_60세,2021년10월_계_61세,2021년10월_계_62세,2021년10월_계_63세,2021년10월_계_64세,2021년10월_계_65세,2021년10월_계_66세,2021년10월_계_67세,2021년10월_계_68세,2021년10월_계_69세,2021년10월_계_70세,2021년10월_계_71세,2021년10월_계_72세,2021년10월_계_73세,2021년10월_계_74세,2021년10월_계_75세,2021년10월_계_76세,2021년10월_계_77세,2021년10월_계_78세,2021년10월_계_79세,2021년10월_계_80세,2021년10월_계_81세,2021년10월_계_82세,2021년10월_계_83세,2021년10월_계_84세,2021년10월_계_85세,2021년10월_계_86세,2021년10월_계_87세,2021년10월_계_88세,2021년10월_계_89세,2021년10월_계_90세,2021년10월_계_91세,2021년10월_계_92세,2021년10월_계_93세,2021년10월_계_94세,2021년10월_계_95세,2021년10월_계_96세,2021년10월_계_97세,2021년10월_계_98세,2021년10월_계_99세,2021년10월_계_100세 이상,2021년10월_남_총인구수,2021년10월_남_연령구간인구수,2021년10월_남_0세,2021년10월_남_1세,2021년10월_남_2세,2021년10월_남_3세,2021년10월_남_4세,2021년10월_남_5세,2021년10월_남_6세,2021년10월_남_7세,2021년10월_남_8세,2021년10월_남_9세,2021년10월_남_10세,2021년10월_남_11세,2021년10월_남_12세,2021년10월_남_13세,2021년10월_남_14세,2021년10월_남_15세,2021년10월_남_16세,2021년10월_남_17세,2021년10월_남_18세,2021년10월_남_19세,2021년10월_남_20세,2021년10월_남_21세,2021년10월_남_22세,2021년10월_남_23세,2021년10월_남_24세,2021년10월_남_25세,2021년10월_남_26세,2021년10월_남_27세,2021년10월_남_28세,2021년10월_남_29세,2021년10월_남_30세,2021년10월_남_31세,2021년10월_남_32세,2021년10월_남_33세,2021년10월_남_34세,2021년10월_남_35세,2021년10월_남_36세,2021년10월_남_37세,2021년10월_남_38세,2021년10월_남_39세,2021년10월_남_40세,2021년10월_남_41세,2021년10월_남_42세,2021년10월_남_43세,2021년10월_남_44세,2021년10월_남_45세,2021년10월_남_46세,2021년10월_남_47세,2021년10월_남_48세,2021년10월_남_49세,2021년10월_남_50세,2021년10월_남_51세,2021년10월_남_52세,2021년10월_남_53세,2021년10월_남_54세,2021년10월_남_55세,2021년10월_남_56세,2021년10월_남_57세,2021년10월_남_58세,2021년10월_남_59세,2021년10월_남_60세,2021년10월_남_61세,2021년10월_남_62세,2021년10월_남_63세,2021년10월_남_64세,2021년10월_남_65세,2021년10월_남_66세,2021년10월_남_67세,2021년10월_남_68세,2021년10월_남_69세,2021년10월_남_70세,2021년10월_남_71세,2021년10월_남_72세,2021년10월_남_73세,2021년10월_남_74세,2021년10월_남_75세,2021년10월_남_76세,2021년10월_남_77세,2021년10월_남_78세,2021년10월_남_79세,2021년10월_남_80세,2021년10월_남_81세,2021년10월_남_82세,2021년10월_남_83세,2021년10월_남_84세,2021년10월_남_85세,2021년10월_남_86세,2021년10월_남_87세,2021년10월_남_88세,2021년10월_남_89세,2021년10월_남_90세,2021년10월_남_91세,2021년10월_남_92세,2021년10월_남_93세,2021년10월_남_94세,2021년10월_남_95세,2021년10월_남_96세,2021년10월_남_97세,2021년10월_남_98세,2021년10월_남_99세,2021년10월_남_100세 이상,2021년10월_여_총인구수,2021년10월_여_연령구간인구수,2021년10월_여_0세,2021년10월_여_1세,2021년10월_여_2세,2021년10월_여_3세,2021년10월_여_4세,2021년10월_여_5세,2021년10월_여_6세,2021년10월_여_7세,2021년10월_여_8세,2021년10월_여_9세,2021년10월_여_10세,2021년10월_여_11세,2021년10월_여_12세,2021년10월_여_13세,2021년10월_여_14세,2021년10월_여_15세,2021년10월_여_16세,2021년10월_여_17세,2021년10월_여_18세,2021년10월_여_19세,2021년10월_여_20세,2021년10월_여_21세,2021년10월_여_22세,2021년10월_여_23세,2021년10월_여_24세,2021년10월_여_25세,2021년10월_여_26세,2021년10월_여_27세,2021년10월_여_28세,2021년10월_여_29세,2021년10월_여_30세,2021년10월_여_31세,2021년10월_여_32세,2021년10월_여_33세,2021년10월_여_34세,2021년10월_여_35세,2021년10월_여_36세,2021년10월_여_37세,2021년10월_여_38세,2021년10월_여_39세,2021년10월_여_40세,2021년10월_여_41세,2021년10월_여_42세,2021년10월_여_43세,2021년10월_여_44세,2021년10월_여_45세,2021년10월_여_46세,2021년10월_여_47세,2021년10월_여_48세,2021년10월_여_49세,2021년10월_여_50세,2021년10월_여_51세,2021년10월_여_52세,2021년10월_여_53세,2021년10월_여_54세,2021년10월_여_55세,2021년10월_여_56세,2021년10월_여_57세,2021년10월_여_58세,2021년10월_여_59세,2021년10월_여_60세,2021년10월_여_61세,2021년10월_여_62세,2021년10월_여_63세,2021년10월_여_64세,2021년10월_여_65세,2021년10월_여_66세,2021년10월_여_67세,2021년10월_여_68세,2021년10월_여_69세,2021년10월_여_70세,2021년10월_여_71세,2021년10월_여_72세,2021년10월_여_73세,2021년10월_여_74세,2021년10월_여_75세,2021년10월_여_76세,2021년10월_여_77세,2021년10월_여_78세,2021년10월_여_79세,2021년10월_여_80세,2021년10월_여_81세,2021년10월_여_82세,2021년10월_여_83세,2021년10월_여_84세,2021년10월_여_85세,2021년10월_여_86세,2021년10월_여_87세,2021년10월_여_88세,2021년10월_여_89세,2021년10월_여_90세,2021년10월_여_91세,2021년10월_여_92세,2021년10월_여_93세,2021년10월_여_94세,2021년10월_여_95세,2021년10월_여_96세,2021년10월_여_97세,2021년10월_여_98세,2021년10월_여_99세,2021년10월_여_100세 이상,,,,,,,
경기도 용인시 처인구 (4146100000),261166,261166,1329,1448,1611,1778,2008,2228,2366,2349,2400,2668,2584,2458,2399,2523,2594,2278,2223,2354,2643,3662,3161,3597,3342,3475,3667,3617,3474,3550,3507,3513,3233,3027,3024,2924,2982,3146,3261,3512,4067,4325,4326,4477,4440,3926,4100,4065,4279,4625,4638,4601,4803,4605,4782,4697,4192,4271,4395,3890,4142,4161,4706,4419,3962,3559,3320,3217,3187,2654,2405,2707,1720,1895,1815,1846,1865,1467,1386,1352,1375,1499,1250,1022,1032,880,830,717,712,563,466,354,288,252,199,150,109,69,61,41,36,18,39,134041,134041,694,736,824,913,1037,1135,1240,1201,1212,1321,1348,1233,1250,1283,1309,1237,1157,1235,1371,1992,1667,1903,1740,1851,1994,1985,2020,1936,1922,1975,1784,1667,1658,1541,1578,1691,1750,1807,2135,2233,2271,2307,2349,2036,2159,2170,2276,2484,2403,2439,2489,2383,2420,2416,2131,2225,2261,2053,2181,2129,2419,2328,2084,1829,1606,1610,1590,1267,1177,1333,797,920,899,887,877,699,630,601,566,622,517,412,399,305,319,252,249,181,144,103,67,63,43,23,22,15,12,12,6,3,6,127125,127125,635,712,787,865,971,1093,1126,1148,1188,1347,1236,1225,1149,1240,1285,1041,1066,1119,1272,1670,1494,1694,1602,1624,1673,1632,1454,1614,1585,1538,1449,1360,1366,1383,1404,1455,1511,1705,1932,2092,2055,2170,2091,1890,1941,1895,2003,2141,2235,2162,2314,2222,2362,2281,2061,2046,2134,1837,1961,2032,2287,2091,1878,1730,1714,1607,1597,1387,1228,1374,923,975,916,959,988,768,756,751,809,877,733,610,633,575,511,465,463,382,322,251,221,189,156,127,87,54,49,29,30,15,33,,,,,,,
경기도 용인시 기흥구 (4146300000),442335,442335,2451,2764,3162,3512,3854,4519,4902,4834,4886,5508,5257,5262,4938,5307,5531,4848,4706,4957,4860,4832,5582,6182,5874,5760,5795,5804,5715,5654,5515,5482,5158,4996,5065,5008,5060,5435,5697,6212,7029,7947,8234,8574,8170,7520,8043,7657,8089,8954,8740,8642,9022,8618,8015,7709,6921,6066,6188,5615,5814,5431,5750,5339,4976,4515,4371,4083,4286,3583,3381,3669,2498,2878,2948,3036,3204,2599,2313,2254,2209,2501,2081,1765,1653,1422,1229,1114,941,816,653,539,381,372,313,205,167,100,85,57,60,42,65,218360,218360,1271,1394,1631,1793,2022,2335,2538,2446,2496,2816,2669,2699,2536,2703,2835,2539,2412,2503,2504,2486,2912,3176,3016,2943,2985,3009,3037,3052,2931,2897,2575,2490,2500,2478,2445,2734,2782,2989,3435,3821,4014,4172,3956,3642,3878,3775,3930,4389,4294,4286,4556,4303,4013,3789,3489,3097,3209,2876,2958,2701,2866,2599,2427,2117,2033,1973,1930,1623,1509,1610,1092,1294,1266,1335,1390,1142,1056,1033,994,1165,981,799,699,633,525,461,377,306,245,214,121,120,95,48,35,21,16,12,17,7,12,223975,223975,1180,1370,1531,1719,1832,2184,2364,2388,2390,2692,2588,2563,2402,2604,2696,2309,2294,2454,2356,2346,2670,3006,2858,2817,2810,2795,2678,2602,2584,2585,2583,2506,2565,2530,2615,2701,2915,3223,3594,4126,4220,4402,4214,3878,4165,3882,4159,4565,4446,4356,4466,4315,4002,3920,3432,2969,2979,2739,2856,2730,2884,2740,2549,2398,2338,2110,2356,1960,1872,2059,1406,1584,1682,1701,1814,1457,1257,1221,1215,1336,1100,966,954,789,704,653,564,510,408,325,260,252,218,157,132,79,69,45,43,35,53,,,,,,,
경기도 용인시 수지구 (4146500000),376108,376108,2154,2352,2678,2947,3402,3859,4307,4357,4471,4674,4671,4577,4561,4843,4835,4467,4202,4494,4345,4310,4675,4945,4637,4686,4612,4593,4545,4528,4501,4555,4397,4248,4386,4492,4626,4822,5088,5378,6176,6678,7080,7214,7240,6506,7091,6927,7139,7747,7282,7461,7815,7130,6923,6282,5486,4938,4985,4731,4632,4230,4430,4348,3814,3649,3513,3254,3571,3007,2868,2904,2109,2585,2653,2665,2720,2238,2107,1965,1984,2230,1780,1503,1391,1165,1097,845,793,600,493,457,320,257,223,210,110,83,83,54,32,33,52,183230,183230,1078,1162,1371,1470,1761,1974,2177,2228,2270,2417,2394,2335,2325,2453,2458,2230,2165,2241,2189,2215,2357,2465,2344,2348,2341,2289,2283,2324,2234,2241,2103,2058,2089,2145,2181,2260,2377,2536,2934,3241,3367,3385,3293,3088,3388,3323,3420,3726,3555,3697,3943,3536,3454,3143,2761,2519,2583,2367,2395,2210,2215,2150,1872,1784,1638,1430,1636,1319,1228,1280,918,1115,1193,1183,1145,972,970,907,967,1086,871,724,679,574,495,332,346,227,183,161,97,88,57,64,25,23,22,17,8,8,5,192878,192878,1076,1190,1307,1477,1641,1885,2130,2129,2201,2257,2277,2242,2236,2390,2377,2237,2037,2253,2156,2095,2318,2480,2293,2338,2271,2304,2262,2204,2267,2314,2294,2190,2297,2347,2445,2562,2711,2842,3242,3437,3713,3829,3947,3418,3703,3604,3719,4021,3727,3764,3872,3594,3469,3139,2725,2419,2402,2364,2237,2020,2215,2198,1942,1865,1875,1824,1935,1688,1640,1624,1191,1470,1460,1482,1575,1266,1137,1058,1017,1144,909,779,712,591,602,513,447,373,310,296,223,169,166,146,85,60,61,37,24,25,47,,,,,,,
경기도 파주시 (4148000000),479183,479183,2627,3144,3598,3833,4286,4855,5136,5180,5070,5617,5440,5276,4973,5301,5304,4668,4547,4796,4846,4807,5223,5748,5574,5686,5780,5768,6025,6263,6506,6584,6369,5956,6094,6248,6479,6629,6901,6976,7855,8514,8634,8798,8215,7429,7743,7594,7766,8512,8654,8829,9229,8634,8260,8166,7276,7147,7054,6524,6944,6966,7329,6910,6284,5901,5699,4950,5159,4168,3747,3949,2632,3019,3306,3194,3323,2585,2567,2497,2673,2952,2425,2222,2013,1857,1557,1397,1282,957,794,704,517,428,358,288,201,131,98,75,60,43,76,243139,243139,1339,1586,1862,1979,2171,2520,2573,2633,2559,2901,2757,2620,2590,2718,2699,2369,2319,2469,2539,2530,2754,3072,3001,3133,3134,3217,3313,3383,3382,3385,3248,3051,3257,3315,3466,3616,3718,3613,4090,4450,4531,4633,4174,3737,3923,3880,3874,4309,4439,4639,4829,4536,4276,4292,3759,3819,3657,3346,3642,3652,3735,3537,3155,3026,2898,2415,2541,2071,1827,1850,1187,1366,1519,1441,1526,1161,1108,1038,1092,1261,977,856,771,652,602,497,438,315,234,202,143,128,91,69,32,25,15,14,18,10,18,236044,236044,1288,1558,1736,1854,2115,2335,2563,2547,2511,2716,2683,2656,2383,2583,2605,2299,2228,2327,2307,2277,2469,2676,2573,2553,2646,2551,2712,2880,3124,3199,3121,2905,2837,2933,3013,3013,3183,3363,3765,4064,4103,4165,4041,3692,3820,3714,3892,4203,4215,4190,4400,4098,3984,3874,3517,3328,3397,3178,3302,3314,3594,3373,3129,2875,2801,2535,2618,2097,1920,2099,1445,1653,1787,1753,1797,1424,1459,1459,1581,1691,1448,1366,1242,1205,955,900,844,642,560,502,374,300,267,219,169,106,83,61,42,33,58,,,,,,,
경기도 이천시 (4150000000),224066,224066,1192,1331,1457,1593,1809,2017,2166,2093,2148,2307,2298,2190,2043,2264,2259,2128,2022,2201,2401,3448,2765,2843,2761,2761,2944,3148,3309,3610,3710,3649,3075,3016,3067,2812,2899,2863,3041,3094,3295,3758,3483,3573,3436,3429,3403,3368,3287,3734,3587,3655,3808,3832,3854,3758,3426,3413,3528,3227,3282,3472,4056,3639,3303,3130,2817,2615,2603,2138,1859,2274,1357,1460,1487,1463,1485,1208,1132,1095,1177,1316,1094,954,911,878,772,618,626,539,387,310,221,181,176,114,91,60,67,29,30,18,34,116264,116264,625,674,774,813,946,1044,1113,1092,1103,1175,1194,1143,1042,1174,1152,1121,1054,1133,1250,1897,1444,1521,1559,1518,1638,1774,1943,2155,2210,2182,1796,1696,1687,1441,1496,1480,1543,1653,1770,2074,1928,1921,1742,1743,1685,1654,1680,1945,1859,1955,2042,2068,1966,1868,1729,1790,1837,1675,1734,1831,2124,1819,1689,1648,1441,1403,1303,1088,936,1137,624,682,730,701,706,613,509,491,493,533,451,390,347,337,271,219,190,181,124,94,58,50,38,17,22,12,17,9,5,3,8,107802,107802,567,657,683,780,863,973,1053,1001,1045,1132,1104,1047,1001,1090,1107,1007,968,1068,1151,1551,1321,1322,1202,1243,1306,1374,1366,1455,1500,1467,1279,1320,1380,1371,1403,1383,1498,1441,1525,1684,1555,1652,1694,1686,1718,1714,1607,1789,1728,1700,1766,1764,1888,1890,1697,1623,1691,1552,1548,1641,1932,1820,1614,1482,1376,1212,1300,1050,923,1137,733,778,757,762,779,595,623,604,684,783,643,564,564,541,501,399,436,358,263,216,163,131,138,97,69,48,50,20,25,15,26,,,,,,,
경기도 안성시 (4155000000),189732,189732,857,890,1074,1156,1283,1459,1559,1526,1693,1800,1884,1729,1752,1854,1815,1643,1640,1692,1788,2216,2353,2315,2245,2349,2357,2410,2343,2335,2294,2259,2113,2075,2063,2086,2080,2119,2234,2319,2717,2985,3001,3223,2978,2779,2881,2750,2886,3195,3305,3152,3450,3312,3526,3332,3029,3060,3109,2882,3119,2992,3714,3490,3161,2943,2726,2516,2573,2249,1952,2256,1471,1575,1478,1544,1639,1209,1217,1179,1149,1377,1103,1045,1054,899,903,759,629,595,450,390,292,230,170,126,87,85,46,37,31,25,36,97969,97969,452,458,568,595,666,753,814,769,891,892,964,866,910,954,946,857,858,887,942,1174,1223,1174,1211,1287,1273,1388,1326,1366,1339,1297,1155,1230,1137,1119,1141,1145,1238,1295,1421,1594,1623,1725,1590,1518,1535,1458,1533,1710,1765,1696,1817,1792,1908,1770,1553,1677,1663,1482,1619,1590,1912,1773,1613,1503,1386,1225,1288,1145,968,1136,714,779,731,737,749,587,537,531,474,527,480,397,404,312,333,266,193,186,128,110,78,55,30,20,15,13,8,8,7,5,7,91763,91763,405,432,506,561,617,706,745,757,802,908,920,863,842,900,869,786,782,805,846,1042,1130,1141,1034,1062,1084,1022,1017,969,955,962,958,845,926,967,939,974,996,1024,1296,1391,1378,1498,1388,1261,1346,1292,1353,1485,1540,1456,1633,1520,1618,1562,1476,1383,1446,1400,1500,1402,1802,1717,1548,1440,1340,1291,1285,1104,984,1120,757,796,747,807,890,622,680,648,675,850,623,648,650,587,570,493,436,409,322,280,214,175,140,106,72,72,38,29,24,20,29,,,,,,,
경기도 김포시 (4157000000),485859,485859,3393,3910,4501,4901,5442,6256,6593,6343,6083,6751,6262,5848,5365,5390,5156,4604,4247,4287,4247,4219,4620,4960,4715,5036,5197,5367,5477,5586,5702,6013,6109,5942,6190,6324,6809,7152,7847,8518,9907,10826,10802,10932,10098,9083,8970,8366,8375,8760,8243,8197,8049,7580,7498,7218,6640,6498,6483,6091,6366,6531,6749,6710,6011,5786,5702,4994,5207,4313,3895,4070,2740,3149,3255,3120,3008,2421,2229,2085,2160,2331,1880,1589,1502,1343,1183,1030,939,733,603,512,409,331,275,200,166,108,77,45,48,23,53,243149,243149,1797,2041,2360,2452,2822,3182,3335,3212,3063,3341,3229,3029,2742,2729,2594,2372,2118,2169,2169,2139,2443,2648,2434,2620,2701,2699,2755,2891,2929,2998,2959,2947,3016,3061,3229,3498,3851,4176,4933,5442,5482,5542,5119,4737,4609,4403,4414,4689,4363,4323,4175,3857,3773,3691,3382,3308,3192,3168,3282,3400,3384,3388,2970,2825,2782,2384,2457,2060,1823,1942,1294,1468,1559,1506,1450,1202,1048,923,965,962,785,676,621,534,430,389,322,225,182,149,114,72,69,36,41,21,15,4,14,10,14,242710,242710,1596,1869,2141,2449,2620,3074,3258,3131,3020,3410,3033,2819,2623,2661,2562,2232,2129,2118,2078,2080,2177,2312,2281,2416,2496,2668,2722,2695,2773,3015,3150,2995,3174,3263,3580,3654,3996,4342,4974,5384,5320,5390,4979,4346,4361,3963,3961,4071,3880,3874,3874,3723,3725,3527,3258,3190,3291,2923,3084,3131,3365,3322,3041,2961,2920,2610,2750,2253,2072,2128,1446,1681,1696,1614,1558,1219,1181,1162,1195,1369,1095,913,881,809,753,641,617,508,421,363,295,259,206,164,125,87,62,41,34,13,39,,,,,,,
경기도 화성시 (4159000000),881154,881154,6757,7762,8532,9308,10227,11356,11910,11706,11611,12590,12132,11422,10894,11092,10716,9436,8617,8998,8584,8377,9349,9772,9328,9465,10083,10541,11510,12153,13026,13401,13147,13082,13565,13747,14057,14481,15057,15894,17957,19847,19836,19727,18425,16713,16955,15701,15901,16217,15738,14935,15168,14326,14090,13282,11548,10965,11408,9952,10284,10263,11268,10411,9189,8271,7643,7136,6991,5804,5122,5644,3531,4050,3972,3816,3769,2924,2699,2657,2597,2938,2377,2060,2053,1845,1694,1487,1253,1089,894,776,501,467,340,281,204,127,102,73,59,36,81,457918,457918,3386,3919,4434,4810,5263,5800,6093,5911,5940,6372,6230,5870,5519,5641,5397,4778,4377,4549,4443,4350,4873,5117,4947,4918,5326,5746,6464,6782,7325,7528,7220,6937,7211,7117,7367,7420,7870,8369,9187,10274,10414,10321,9746,8936,8980,8425,8504,8590,8426,8097,8248,7800,7455,7106,6080,6025,6248,5294,5497,5436,5950,5493,4806,4260,3782,3629,3533,2846,2609,2731,1739,1930,1930,1844,1841,1400,1271,1191,1092,1236,1007,824,789,699,622,527,365,342,248,201,127,85,75,59,30,28,21,12,11,6,19,423236,423236,3371,3843,4098,4498,4964,5556,5817,5795,5671,6218,5902,5552,5375,5451,5319,4658,4240,4449,4141,4027,4476,4655,4381,4547,4757,4795,5046,5371,5701,5873,5927,6145,6354,6630,6690,7061,7187,7525,8770,9573,9422,9406,8679,7777,7975,7276,7397,7627,7312,6838,6920,6526,6635,6176,5468,4940,5160,4658,4787,4827,5318,4918,4383,4011,3861,3507,3458,2958,2513,2913,1792,2120,2042,1972,1928,1524,1428,1466,1505,1702,1370,1236,1264,1146,1072,960,888,747,646,575,374,382,265,222,174,99,81,61,48,30,62,,,,,,,
경기도 광주시 (4161000000),386496,386496,2243,2627,2869,3218,3380,3907,3815,3815,3583,3958,3830,3462,3255,3492,3525,3244,3066,3351,3252,3706,3843,4271,4110,4351,4381,4620,4704,4826,4789,5185,4883,4766,4788,4826,5082,5294,5719,6013,6886,7584,7556,7686,6884,6152,6283,6172,6416,6711,6777,6925,7156,6856,7100,6972,6216,6114,6396,5762,6113,6358,6860,6633,6036,5687,5470,4869,5024,4100,3566,3838,2568,2774,2757,2668,2654,1990,1828,1824,1773,1999,1500,1357,1236,1079,920,805,759,586,476,384,273,278,213,154,120,83,61,43,42,34,51,197315,197315,1128,1348,1492,1623,1684,2009,1990,1973,1805,2066,1993,1776,1653,1747,1762,1672,1531,1751,1653,1938,2040,2286,2176,2302,2311,2473,2499,2565,2569,2748,2573,2451,2488,2493,2624,2726,2968,3113,3624,3907,4028,4003,3707,3192,3380,3272,3354,3519,3525,3715,3734,3570,3648,3513,3090,3159,3220,2919,3179,3203,3396,3310,2980,2874,2768,2450,2480,2028,1796,1954,1238,1348,1321,1344,1304,945,887,878,840,924,661,541,514,425,370,304,242,201,137,104,59,74,56,28,17,13,12,7,11,1,13,189181,189181,1115,1279,1377,1595,1696,1898,1825,1842,1778,1892,1837,1686,1602,1745,1763,1572,1535,1600,1599,1768,1803,1985,1934,2049,2070,2147,2205,2261,2220,2437,2310,2315,2300,2333,2458,2568,2751,2900,3262,3677,3528,3683,3177,2960,2903,2900,3062,3192,3252,3210,3422,3286,3452,3459,3126,2955,3176,2843,2934,3155,3464,3323,3056,2813,2702,2419,2544,2072,1770,1884,1330,1426,1436,1324,1350,1045,941,946,933,1075,839,816,722,654,550,501,517,385,339,280,214,204,157,126,103,70,49,36,31,33,38,,,,,,,
경기도 양주시 (4163000000),236205,236205,1213,1439,1607,1778,1993,2208,2327,2267,2331,2677,2527,2470,2348,2476,2564,2362,2271,2430,2380,2441,2779,2811,2878,2751,2797,2791,2695,2711,2768,2766,2670,2725,2443,2447,2499,2667,2711,2994,3431,3657,3926,4122,3762,3556,3588,3728,4034,4347,4488,4374,4465,4225,4311,4175,3751,3783,3835,3448,3712,3686,3888,3993,3493,3324,3381,2991,3134,2555,2192,2341,1562,1822,1867,1865,1955,1526,1502,1447,1405,1622,1261,1081,1035,929,856,707,646,504,402,346,242,209,186,136,106,76,50,41,46,25,40,119761,119761,643,712,835,905,1016,1120,1189,1159,1181,1377,1272,1216,1190,1253,1287,1198,1210,1264,1169,1299,1423,1499,1584,1451,1484,1532,1488,1469,1474,1483,1419,1438,1265,1270,1285,1367,1374,1509,1841,1803,1992,2107,1912,1802,1804,1895,2122,2227,2330,2370,2350,2196,2158,2161,1972,2008,2038,1866,1940,1958,1967,2030,1788,1699,1702,1508,1531,1291,1040,1135,740,857,860,888,947,720,719,657,639,689,513,452,413,360,333,260,228,174,120,99,49,48,36,32,20,13,9,8,12,5,9,116444,116444,570,727,772,873,977,1088,1138,1108,1150,1300,1255,1254,1158,1223,1277,1164,1061,1166,1211,1142,1356,1312,1294,1300,1313,1259,1207,1242,1294,1283,1251,1287,1178,1177,1214,1300,1337,1485,1590,1854,1934,2015,1850,1754,1784,1833,1912,2120,2158,2004,2115,2029,2153,2014,1779,1775,1797,1582,1772,1728,1921,1963,1705,1625,1679,1483,1603,1264,1152,1206,822,965,1007,977,1008,806,783,790,766,933,748,629,622,569,523,447,418,330,282,247,193,161,150,104,86,63,41,33,34,20,31,,,,,,,
경기도 포천시 (4165000000),148618,148618,527,613,661,753,828,886,915,904,946,1106,1084,1082,1073,1121,1195,1159,1109,1162,1427,1432,1630,1750,1789,1894,1862,1882,1845,1848,1818,1735,1649,1579,1363,1440,1327,1340,1339,1385,1566,1655,1752,1802,1660,1696,1814,1799,2073,2318,2405,2491,2760,2625,2867,3049,2823,3005,3064,2827,3139,3022,3502,3504,3202,3099,2823,2531,2479,2052,1727,1775,1115,1316,1459,1357,1469,1112,1144,1049,1094,1224,1050,1010,956,790,739,629,591,464,364,283,212,206,171,119,87,54,65,29,37,21,38,78733,78733,258,307,353,372,446,475,468,450,489,550,596,557,545,585,658,597,576,611,727,774,853,949,1019,1120,1082,1115,1093,1109,1078,1043,972,896,769,802,726,758,725,782,839,932,958,990,894,878,962,949,1094,1267,1285,1374,1529,1435,1557,1635,1526,1690,1696,1555,1761,1664,1879,1911,1716,1686,1575,1402,1387,1071,904,927,582,645,733,681,664,520,526,458,452,502,427,397,360,287,270,221,198,149,109,81,63,46,45,19,16,8,18,10,10,10,13,69885,69885,269,306,308,381,382,411,447,454,457,556,488,525,528,536,537,562,533,551,700,658,777,801,770,774,780,767,752,739,740,692,677,683,594,638,601,582,614,603,727,723,794,812,766,818,852,850,979,1051,1120,1117,1231,1190,1310,1414,1297,1315,1368,1272,1378,1358,1623,1593,1486,1413,1248,1129,1092,981,823,848,533,671,726,676,805,592,618,591,642,722,623,613,596,503,469,408,393,315,255,202,149,160,126,100,71,46,47,19,27,11,25,,,,,,,
경기도 여주시 (4167000000),112260,112260,436,526,577,604,650,742,811,801,859,940,976,914,916,890,993,890,901,981,971,1029,1159,1277,1228,1238,1188,1126,1260,1184,1168,1211,1149,1007,1004,1031,981,1050,1055,1150,1241,1505,1525,1586,1515,1385,1461,1460,1576,1734,1817,1702,1919,1885,2072,2022,1933,1937,2098,1986,2029,2188,2470,2386,2155,2109,2019,1951,1992,1647,1504,1818,1084,1017,1113,1114,1173,888,947,895,875,1076,949,756,762,656,597,536,459,393,309,233,218,193,128,113,63,65,41,29,31,16,31,57122,57122,226,251,277,321,326,379,434,412,467,500,490,456,498,489,507,444,457,522,474,545,607,663,652,666,648,608,718,684,656,676,656,552,570,547,531,554,539,610,600,740,787,833,775,708,761,730,800,913,935,937,1020,1009,1064,1047,985,1065,1109,1022,1060,1155,1266,1211,1119,1083,1015,1004,1008,806,761,945,570,494,558,574,589,433,428,388,393,471,413,287,301,265,231,183,150,142,78,71,59,50,28,29,14,11,6,4,5,4,8,55138,55138,210,275,300,283,324,363,377,389,392,440,486,458,418,401,486,446,444,459,497,484,552,614,576,572,540,518,542,500,512,535,493,455,434,484,450,496,516,540,641,765,738,753,740,677,700,730,776,821,882,765,899,876,1008,975,948,872,989,964,969,1033,1204,1175,1036,1026,1004,947,984,841,743,873,514,523,555,540,584,455,519,507,482,605,536,469,461,391,366,353,309,251,231,162,159,143,100,84,49,54,35,25,26,12,23,,,,,,,
